Name,Operator,Type,Pipeline,Status,States,Regions,Authority,Docket,Updated,Completed,Year,Cost,Miles,Capacity,Diameter,Compression
Florida Southeast Connection,NextEra Energy,New Pipeline,interstate,Announced,FL,southeast,FERC,,8/20/2013,,01/01/2017,550,126,600,36,
Rover Pipeline Project,ET Rover Pipeline,New Pipeline,,Pre-filed,"PA,WV,OH,MI,CN","Northeast,Canada",FERC,PF14-14,9/1/2014,,01/01/2017,4300,800,3250,42,
Sabal Trail Project,"Spectra Energy Corp/NextEra Energy, Inc",New Pipeline,interstate,Announced,"AL,GA,FL","Southeast,Southeas",FERC,,8/20/2013,,01/01/2017,3000,465,1000,,
Bobcat Storage Expansion,Port Barre Investments LLC,Lateral,Interstate,Construction,LA,Southwest,FERC,CP09-19,12/29/2011,,01/01/2017,30,13,1800,20,
Atlantic Bridge project,Algonquin Gas Transmission,Expansion,Interstate,Announced,"NJ,NY,CT,RI,MA",Northeast,FERC,na,2/7/2014,,01/01/2017,0,0,600,,
Prairie State Pipeline,Prairie State Pipeline,New Pipeline,,Announced,IL,Midwest,FERC,na,12/4/2014,,01/01/2017,,140,1500,,
Mountaineer XPress Pipeline,Columbia Gas Transmission,Expansion,,Announced,WV,Northeast,FERC,na,9/5/2014,,01/01/2017,,,2500,,
Project (MXP),,,,,,,,,,,,,,,,
Leach XPress project,Columbia Pipeline,New Pipeline,,Announced,"OH,WV",Northeast,FERC,na,9/3/2014,,01/01/2017,1400,160,1500,,
Gulf Markets Expansion (bi-directional),Texas Eastern Transmission co,Reversal,,Announced,"PA,OH,WV,KY,TX","Northeast,Central",FERC,na,8/4/2014,,01/01/2017,,,650,,
Hillabee Expansion phase 1,Transcontinental Gas Pipeline,Expansion,,Filed,AL,Southeast,FERC,CP15-16,12/4/2014,,01/01/2017,460,20,818,"42,48",
MARC II pipeline,Central New York Oil & Gas,Lateral,,Announced,PA,Northeast,FERC,na,12/4/2014,,01/01/2017,,30,1000,30,
Bakken Header Supply Lateral Project,Northern Border Pipeline,Lateral,,Announced,ND,Central,FERC,na,12/4/2014,,01/01/2017,,64,295,16,
Gulf Trace Expansion Project,Transcontinental Gas Pipeline,Expansion,,Announced,LA,Southeast,FERC,na,8/4/2014,,01/01/2017,,8,1200,,
Access South Project,Texas Eastern Transmission co,Reversal,,Announced,"PA,WV,KY,TN,AL,MS","Northeast,Midwest",FERC,na,8/4/2014,,01/01/2017,,,320,,
Adair Southwest Project,Texas Eastern Transmission co,Reversal,,Announced,"PA,WV,OH,KY","Northeast,Southeast",FERC,na,8/4/2014,,01/01/2017,,,200,,
Gulf Trace Expansion Project,Transcontinental Gas Pipeline,Expansion,,Announced,LA,Southwest,FERC,na,9/29/2014,,01/01/2017,,8,,36,
2017 Vector Pipeline Mainline,Vector Pipeline,Reversal,,Announced,MI,Midwest,FERC,na,10/6/2014,,01/01/2017,,,1300,42,
Expansion Project,,,,,,,,,,,,,,,,
Broad Run Expansion Project,Tennessee Gas Pipeline,Expansion,,Announced,KY,Southeast,FERC,na,9/14/2014,,01/01/2017,,,200,,
PennEast Pipeline Co,PennEast Pipeline Co,New Pipeline,,Announced,PA,Northeast,FERC,na,9/3/2014,,01/01/2017,1000,105,1000,30,
South to North project,Iroquois gas pipeline,Reversal,,Announced,"NY,CN","Northeast,Canada",FERC,,12/7/2013,,01/01/2016,0,0,300,,
Creole Trail Expansion Project,Cheniere Creole Trail Pipeline,Expansion,Interstate,Approved,LA,Southwest,FERC,CP12-351-,3/6/2013,,01/01/2016,104,0,1530,42,
New market project,Dominion Transmission,New Pipeline,,Filed,PA,Northeast,FERC,CP14-498,6/20/2014,,01/01/2016,159,0,112,,0
NEXUS Gas Transmission,Spectra Energy,New Pipeline,interstate,Announced,"OH,MI,CN","Northeast,Canada",FERC,,2/14/2013,,01/01/2016,0,250,2000,,
Clarington Project,Dominion Transmission,New Pipeline,,Filed,WV,Northeast,FERC,CP14-496,6/20/2014,,01/01/2016,77,0,250,,16130
Renaissance Gas Transmission Project,Spectra Energy,New Pipeline,Interstate,Announced,"AL,TN,GA",Southeast,FERC,na,3/12/2012,,01/01/2016,,290,1000,"36,30,24",
Wright Interconnect Project,Iroquois gas pipeline,Expansion,compressor,Announced,NY,Northeast,FERC,CP13-502,12/13/2014,,01/01/2016,75,0,650,,21800
Rock Springs Expansion,Transcontinental Gas Pipelne,Lateral,,Pre-filed,NJ,Northeast,FERC,PF14-,3/26/2014,,01/01/2016,,11,192,20,
Ohio Valley Connector,Equitrans,Expansion,,Applied,"WV,OH",Northeast,FERC,CP15-41,8/4/2014,,01/01/2016,415,50,850,"30,24",
WBI Energy Wind Ridge Pipeline,Wind Ridge Pipeline,New Pipeline,,Announced,ND,Midwest,FERC,PF14-20,9/4/2014,,01/01/2016,120,95,,,
Continent to Coast Expansion Project,Portland Natural Gas Transmission System,Expansion,Interstate,Announced,"CN,ME","Canada,Northeast",FERC,,4/1/2013,,01/01/2016,0,0,132,,
Lebanon West II,Dominion Transmission,Expansion,,Approved,"PA,OH","Northeast,Norhteast",FERC,CP14-555,10/24/2014,,01/01/2016,112,,130,,10915
Connecticut Expansion Project,Tennessee Gas Pipeline,Expansion,Interstate,Announced,MA,Northeast,FERC,na,10/23/2013,,01/01/2016,81,13,72,,
Upstate Pipeline Project,Millennium Pipeline Co,Expansion,interstate,Announced,NY,Northeast,FERC,na,6/3/2013,,01/01/2016,0,60,0,,
Northern Access 2016 Project,National Fuel Gas Supply Corp,Expansion,,Pre-filed,"PA,NY",Northeast,FERC,PF14-18,8/4/2014,,01/01/2016,,97,350,24,
Algonquin Incremental Market (AIM),Algonquin Gas Transmission,Expansion,Interstate,Applied,"NJ,NY,CT,RI,MA",Northeast,FERC,CP14-96,11/6/2012,,01/01/2016,0,0,342,,
Chicago Market Expansion Project,Natural Gas Pipeline Company of America,Expansion,,Announced,IL,Midwest,FERC,na,11/1/2014,,01/01/2016,100,,450,,
Clarington West Project,Rockies Express Pipeline,Reversal,,Announced,"OH,WY","Northeast,Central",FERC,,1/1/2014,,01/01/2016,,,2500,,
Gulf Coast Market Expansion Project,Natural Gas Pipeline Company of America,Reversal,,Announced,"IL,AR,TX","Midwest,Southwest",FERC,na,9/5/2014,,01/01/2016,,,750,,
NMT Pipeline,Enterprise Natural Gas Pipeline,Expansion,,Pre-filed,"NM,TX",Southwest,FERC,PF15-8,12/22/2014,,01/01/2016,,98,400,24,
Magnum Gas Storage Link,Magnum Gas Storage LLC,Lateral,Interstate,Construction,UT,Central,FERC,CP10-22,11/2/2014,,01/01/2016,,62,,36,
Garden State Expansion,Transcontinental Gas Pipeline,Expansion,,Announced,NJ,Northeast,FERC,na,8/4/2014,,01/01/2016,,,180,,
ND to MN,MDU Resources Group,New Pipeline,Interstate,Announced,"ND,MN","Central,Midwest",FERC,,6/3/2013,,01/01/2016,700,400,400,24,
Great Basin Project Scope,Great Basin Energy Development,Lateral,Interstate,Announced,"NV,CA",Southwest,FERC,na,3/27/2011,,01/01/2016,346,125,250,20,
MoBay Storage Line,MoBay Storage Hub,Lateral,Interstate,Approved,AL,Southeast,FERC,CP06-398,3/21/2013,,01/01/2016,,19,1000,"36,24",
Rayne XPress Project,Columbia Gulf Transmission,Reversal,,Announced,"KY,TN,MS,LA","Southeast,Southwest",FERC,na,9/14/0204,,01/01/2016,,,,,
Ohio-Louisiana Access project,Texas Gas Transmission,Reversal,,Applied,"OH,IN,KY,TN,MS,LA","Northeast,Southwest",FERC,CP14-553,9/14/2014,,01/01/2016,52,,,,10915
Edinburg Lateral,Houston Pipe Line,Expansion,,Approved,"TX,MX","Southwest,Mexico",FERC,CP14-13,6/20/2014,,01/01/2015,,23,140,24,
Tuscarora Lateral Project,Empire Pipeline,Lateral,Interstate,Filed,NY,Northeast,FERC,CP14-112,6/20/2014,,01/01/2015,44,17,54,"12,16",1384
Utica Backhaul Transportation,Tennessee Gas Pipeline,Reversal,Interstate,Announced,"PA,TN","Northeast,Southeast",FERC,,12/17/2013,,01/01/2015,121,0,352,,
2015 Elko Area Expansion Project,Paiute Pipeline,Lateral,,Pre-filed,NV,Southwest,FERC,PF14-4,3/26/2014,,01/01/2015,,35,22,,
Border Crossing,Houston Pipe Line Partners,Expansion,interstate,Construction,"TX,MX","Southwest,Mexico",FERC,cp14-13,6/10/2014,,01/01/2015,0,0,140,24,
Lebanon lateral project phase 2,ANR Pipeline,reversal,,Announced,"IN,OH",Northeast,FERC,na,3/2/2014,,01/01/2015,,,290,,
Utica Ohio River Projec,Regency Energy Partners/American Energy,Lateral,,Announced,OH,Northeast,na,na,8/7/2014,,01/01/2015,500,52,2100,,
Broad Run Flexibility Project,Tennessee Gas Pipeline,Expansion,,Announced,WV,Northeast,FERC,na,9/14/2014,,01/01/2015,782,,590,,
Constitution Pipeline,Constitution Pipeline Co,New Pipeline,Interstate,Approved,"PA,NY",Northeast,FERC,CP13-499,7/10/2014,,01/01/2015,683,121,650,30,0
Transco Rockaway Delivery Project,Transcontinental Gas Pipeline,New Pipeline,Interstate,Construction,NY,Northeast,FERC,CP13-36,6/20/2014,,01/01/2015,12,3,647,26,
SEML reversal,ANR Pipeline,reversal,,Announced,"IN,KY,TN,MS,AR,LA","Northeast,Southwest",FERC,na,7/14/2014,,01/01/2015,100,,1000,,
Northern Access 2015 Project,National Fuel Gas Supply Corp,Expansion,,Filed,"PA,NY",Northeast,FERC,CP14-100,8/4/2014,,01/01/2015,66,,140,,23100
Woodbridge lateral,Transcontinental Gas Pipeline,Lateral,,Construction,NJ,Northeast,FERC,CP14-18,9/3/2014,,01/01/2015,32,2,264,20,
Ohio Pipeline Energy Network,Texas Eastern Transmission,Reversal,Interstate,Approved,"OH,LA","Northeast,Southwest",FERC,CP14-68,12/21/2014,,01/01/2015,468,76,550,30,
Carty Lateral Project,Gas Transmission Northwest LLC,Lateral,Interstate,Approved,OR,Northwest,FERC,CP12-494,12/12/2013,,01/01/2015,54,24,175,20,0
Salem Lateral Project,Algonquin Gas Transmission,Lateral,,Applied,MA,Northeast,FERC,CP14-522,8/1/2014,,01/01/2015,,1,115,16,0
Uniontown to Gas City Expansion Project (U2GC) (bi-directional),Texas Eastern Transmission co,Reversal,,Approved,"PA,OH,IN","Northeast,Midwest",FERC,CP14-104,8/4/2014,,01/01/2015,56,,425,,0
Utica Ohio River Project,Regency Energy Partners /American Energy,Expansion,,Announced,OH,Northeast,FERC,na,8/4/2014,,01/01/2015,500,52,2100,36,
Southeast Supply Header Pipeline,Southeast Supply Header LLC,Expansion,,Approved,"LA,AL","Southwest,Southeast",FERC,14-87,9/3/2014,,01/01/2015,48,,45,,
North-South Project,Southern California,New Pipeline,,Announced,CA,Western,State,na,6/20/2014,,01/01/2015,629,90,,,
Line N West Side Expansion and Modernization Project,NiSource Gas Transmission & Storage,Expansion,,Filed,PA,Northeast,FERC,CP14-70,6/20/2014,,01/01/2015,,23,175,24,
Niagara Expansion Project,Tennessee Gas Pipeline,Expansion,,Filed,"NY,CN","Northeast,Canada",FERC,CP14-88,8/4/2014,,01/01/2015,28,3,158,30,
East Side Expansion Project,NiSource Gas Transmission & Storage,Expansion,Interstate,Approved,PA,Northeast,FERC,CP14-17,12/15/2013,,01/01/2015,0,19,650,,
Perryville Storage Laterals,Perryville Gas Storage LLC,Lateral,Interstate,Construction,LA,Southwest,FERC,CP09-418,7/21/2010,,01/01/2015,12,14,600,"24,36",
Interconnect Pipeline Project,Clarksville Gas & Water Department,Lateral,interstate,Pre-filed,"KY,TN",Southeast,FERC,PF13-17,8/20/2013,,01/01/2015,0,23,52,12,
White Plains Gas Storage Laterals,"Orbit Gas Storage, Inc.",Lateral,Interstate,Approved,KY,Southeast,FERC,CP08-409,2/16/2014,,01/01/2015,40,22,100,,
Kingsport Expansion,East Tennessee Natural Gas,Expansion,Interstate,Completed,TN,Southeast,FERC,CP13-534,2/10/2015,2015,01/01/2015,0,16,0,,
Junction Platform Project,Discovery Gas Transmission LLC,New Pipeline,,Completed,GM,Gulf of Mexico,FERC,CP12-516,2/10/2015,2015,01/01/2015,126,20,405,"30,12",2
Mobile Bay South III Expansion Project,Transcontinental Gas Pipeline,Expansion,Interstate,Approved,AL,Southeast,FERC,CP13-523,7/16/2014,,01/01/2015,50,,225,,21500
Leidy Southeast Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Approved,PA,Northeast,FERC,CP13-551,12/18/2014,,01/01/2015,610,30,525,42,71900
Niobrara gas lateral,Trailblazer Pipeline Co,Expansion,,Applied,CO,Central,FERC,CP15-27,1/26/2015,,01/01/2015,21,16,90,10,
TETCO TEAM 2014 Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP13-84,2/6/2014,2014,01/01/2014,500,34,600,36,
Virginia Southside Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,VA,Northeast,FERC,CP13-30,12/16/2013,,01/01/2014,300,100,250,24,
Panda Power Lateral Project,Gulf Crossing,Lateral,,Completed,TX,Southwest,FERC,CP13-64,12/14/2013,2014,01/01/2014,26,17,125,16,
White Oak Lateral Project,Eastern Shore Natural Gas,Lateral,,Completed,DE,Northeast,FERC,CP13-498,10/11/2013,2014,01/01/2014,11,6,55,16,0
Northeast Connector,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,PA,Northeast,FERC,CP13-132,3/6/2013,2014,01/01/2014,,,100,,16940
Cherokee Natural Gas Pipeline Project,XcelEnergy,Lateral,Intrastate,Completed,CO,Central,State,na,11/27/2014,,01/01/2014,110,34,189,24,
Hancock compressor project,Millennium Pipeline,Expansion,Interstate,Completed,NY,Northeast,FERC,CP13-14,3/7/2014,2014,01/01/2014,49,,108,,
Kingsport Expansion Project,East Tennessee Natural Gas,Lateral,Interstate,Completed,TN,Southeast,FERC,CP13-534,12/17/2013,,01/01/2014,114,10,61,16,
Giles County Project,Columbia Gas Transmission,Expansion,,Completed,VA,Northeast,FERC,CP13-125,11/6/2014,2014,01/01/2014,,13,46,8,
Pony Express Pipeline Conversion Project,KM Interstate Pipeline Co,Conversion,Interstate,Completed,"WY,CO,NE,KS",Central,FERC,CP12-495,3/6/2014,2014,01/01/2014,,-500,-255,,
Natrium to Market Project,Dominion Transmission Inc,Expansion,,Completed,"VA,PA",Northeast,FERC,CP13-13,11/7/2012,2014,01/01/2014,42,0,185,,
Sierrita Pipeline Project,Sierrita Gas Pipeline,Lateral,Interstate,Completed,"AZ,MX","Southwest,Mexico",FERC,CP13-73/74,11/7/2014,2014,01/01/2014,200,61,201,36,
Line MB extension project,Columbia Gas Transmission,Expansion,Interstate,Completed,MD,Northeast,FERC,CP13-8,2/6/2014,2014,01/01/2014,132,21,,26,0
Lebanon lateral project,ANR Pipeline,reversal,Interstate,Completed,OH,Northeast,na,na,3/2/2014,,01/01/2014,,,350,,
Lucerne pipeline,DCP Midstream,New Pipeline,Interstate,Completed,CO,Central,FERC,CP13-509,11/6/2013,2014,01/01/2014,12,8,230,,
Eagle Ford Shale Pipeline System Expansion,NET Mexico Pipeline,New Pipeline,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP13-482,2/23/2013,2014,01/01/2014,0,124,2100,42,0
West Leg 2014 Expansion,Northern Natural Gas,Expansion,Interstate,Completed,NE,central,FERC,CP13-528,11/20/2013,2014,01/01/2014,70,7,88,20,
Seneca lateral,Rockies Express Pipeline,Lateral,,Completed,OH,Northeast,FERC,CP13-539,6/20/2014,2014,01/01/2014,75,14,250,24,
High Plains 2013 Expansion Project,Colorado Interstate Gas,Lateral,Interstate,Completed,CO,Central,FERC,CP12-496,3/6/2014,2014,01/01/2014,25,8,225,24,0
Rose Lake Expansion Project,Tennessee Gas Pipeline,Expansion,,Completed,PA,Northeast,FERC,CP13-3,11/26/2014,2014,01/01/2014,92,0,230,,
Southeast Market Expansion,Gulf South Pipeline,Expansion,Interstate,Completed,"MS,AL",Southeast,FERC,CP13-96,11/20/2014,,01/01/2014,287,70,511,"24,30",
West Side Expansion Project (Smithfield III),Columbia Gas Transmission,Reversal,,Completed,"PA,WV,KY","Northeast,Southeast",FERC,CP13-477,4/6/2012,2014,01/01/2014,81,,444,,
South Seattle Delivery Lateral Expansion,Puget Sound Energy,Lateral,Interstate,Completed,WA,Western,FERC,CP12-471,9/26/2013,2013,01/01/2013,,4,75,16,
Norte Crossing Project,El Paso Natural Gas,New Pipeline,Interstate,Completed,"TX,MX","Southwest,Mexico",FERC,CP12-96,6/7/2013,2013,01/01/2013,,0,366,36,
Northeast Supply Link Project,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP12-30,9/14/2013,2013,01/01/2013,390,13,250,"42,36",
Transco Mid-South Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,AL,Southeast,FERC,CP11-18,6/16/2013,2013,01/01/2013,127,23,130,,47780
Willcox Lateral 2013 Expansion Project,El Paso Natural Gas,Lateral,Interstate,Completed,"AZ,MX","Western,Mexico",FERC,CP12-6,9/7/2013,2013,01/01/2013,23,0,185,,
Mid-Atlantic Connector Expansion,Transcontinental Gas Pipeline,Expansion,Interstate,Completed,VA,Northeast,FERC,CP11-31,12/2/2013,2013,01/01/2013,55,1,142,42,18950
Minisink Compressor Project,Millennium Pipeline,Expansion,Interstate,Completed,NY,Northeast,FERC,CP11-515,1/2/2013,2013,01/01/2013,44,0,225,36,
MPP Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,PA,Northeast,FERC,CP12-28,9/20/2013,2013,01/01/2013,89,8,240,30,
Sabinsville to Morrisville Project,Dominion Transmission Inc,Expansion,Interstate,Completed,PA,Northeast,FERC,CP12-20/CP12-19,12/6/2013,2013,01/01/2013,17,4,92,24,
JL 47 Loop Project,Questar Pipeline,Expansion,,Completed,UT,Central,FERC,CP13-19,9/6/2013,2013,01/01/2013,15,15,62,16,
Cadeville Storage Headers,Cadeville Gas Storage LLC,Lateral,Interstate,Completed,LA,Southwest,FERC,CP10-16,4/2/2013,2013,01/01/2013,,10,420,"16,24",
Driver Residue Pipeline,Atlas Pipeline Mid-Continent WestTex,Lateral,Interstate,Completed,TX,Southwest,FERC,CP12-468,2/25/2013,2013,01/01/2013,0,10,0,,
Tioga Area Expansion Project,Dominion Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP12-19,12/6/2013,2013,01/01/2013,67,15,270,24,
Northeast Upgrade Project,Tennessee Gas Pipeline Co,Expansion,Interstate,Completed,"PA,NJ",Northeast,FERC,CP11-161,12/9/2013,2013,01/01/2013,500,40,636,24,
,,,,,,,,CP11-161,,,,,,,,
Tres Palacios Copano Interconnect,Tres Palacios Gas Storage LLC,Lateral,interstate,Completed,TX,"Southeast,Southwest",FERC,CP12-36,6/1/2013,2013,01/01/2013,0,20,400,24,
Tioga Lateral Project,Alliance Pipeline LP,Lateral,Interstate,Completed,ND,Central,FERC,CP12-50,8/22/2013,2013,01/01/2013,167,80,126,12,
Eagle Ford Midstream Expansion,NET Midstream LLC,Expansion,Intrastate,Completed,TX,Southwest,State,na,9/2/2013,,01/01/2013,,105,,24,
VEPCO-Warren County Project,Columbia Gas Transmission,Expansion,Interstate,Completed,VA,Northeast,FERC,CP11-490,9/29/2013,2013,01/01/2013,34,3,246,24,
West Side Expansion Project (Gulf Bi-Direction),Columbia Gulf Transmission,Reversal,Interstate,Completed,"KY,TN,MS,LA","Southeast,Southwest",na,na,4/6/2012,2013,01/01/2013,,,540,,
Greenspring Expansion Project,Eastern Shore Natural Gas Co,Expansion,Interstate,Completed,DE,Northeast,FERC,CP12-461,12/7/2013,2013,01/01/2013,16,11,15,16,
NJ-NY Project,Texas Eastern Transmission,Expansion,Interstate,Completed,"NJ,NY",Northeast,FERC,CP11-56,11/6/2013,2013,01/01/2013,1200,21,800,"30,42",
Mountain Pass Lateral,Kern River Gas Transmission,Lateral,Interstate,Completed,CA,Western,FERC,CP11-46,7/16/2012,2012,01/01/2012,16,9,24,8,
Marshfield Reduction Project,ANR Pipeline,Expansion,Interstate,Completed,WI,Midwest,FERC,CP11-539,11/2/2012,2012,01/01/2012,25,,101,,
Progress Energy Wayne County,Piedmont Natural Gas,New Pipeline,Intrastate,Completed,NC,Southeast,State,na,2/17/2011,2012,01/01/2012,,38,,20,
Bluewater Gas Storage Link,Bluewater Gas Storage,Lateral,Interstate,Completed,MI,Midwest,FERC,CP12-51,4/2/2012,,01/01/2012,,0,300,12,
South System Expansion III Phase 3,Southern Natural Gas Co,Expansion,Interstate,Completed,"MS,AL,GA",Southeast,FERC,CP09-36,2/29/2012,2012,01/01/2012,123,19,125,36,42962
Jones Island Landfill Gas Project,Milwaukee Metropolitan Sewerage,New Pipeline,Intrastate,Completed,WI,Midwest,State,na,8/30/2012,2012,01/01/2012,22,14,,,
Ellisburg to Craigs Project,Dominion Transmission,Lateral,Interstate,Completed,PA,Northeast,FERC,CP11-41,10/10/2012,2012,01/01/2012,46,7,250,,10800
North Seattle Delivery Lateral Expansion,Puget Sound Energy,Lateral,Interstate,Completed,WA,Western,FERC,CP11-520,1/2/2013,2012,01/01/2012,,2,84,20,
TETCO TEAM 2012 Expansion,Texas Eastern Transmission,Expansion,Interstate,Completed,PA,Northeast,FERC,CP11-67,11/2/2012,2012,01/01/2012,197,17,200,36,20720
Inergy Marc I Hub Line Project,"Inergy Midstream, LLC",Expansion,Interstate,Completed,PA,Northeast,FERC,CP10-480,11/8/2012,2012,01/01/2012,,43,555,30,31660
Cecil County Expansion,Eastern Shore Natural Gas,Expansion,Interstate,Completed,"DE,MD",Northeast,FERC,CP11-303,7/16/2012,,01/01/2012,6,5,4,6,
East Cheyenne Storage Header,Merchant Energy Partners LLC,New Pipeline,Interstate,Completed,CO,Central,FERC,CP10-34,7/16/2012,2012,01/01/2012,,4,500,"24,16",
Mississippi Hub Storage Phase 2,Mississippi Hub LLC,New Pipeline,Interstate,Completed,MS,Southeast,FERC,CP09-110,3/21/2013,2012,01/01/2012,75,37,200,"30,24",
Appalachian Gateway Project,Dominion Transmission,New Pipeline,Interstate,Completed,"WV,PA",Northeast,FERC,CP10-448,9/4/2012,2012,01/01/2012,635,110,484,"30,24,20",17965
