Number,Name,Status,Capacity,Company,Waterway,lon,lat,Issued,Expiration
2669,BEAR SWAMP (PS&CON),Active,677250,"BEAR SWAMP POWER COMPANY, LLC",DEERFIELD RIVER MA,-72.7865699,42.6566264,4/28/1970,3/31/2020
2639,CORNELL,Active,30750,NORTHERN STATES POWER CO (WI),CHIPPEWA RIVER WI,-91.1790093,45.1785875,12/26/1973,11/30/2023
2570,RACINE,Active,47500,"AEP GENERATION RESOURCES, INC.",OHIO RIVER WV,-88.5253353,37.060704,12/27/1973,11/30/2023
2628,R L HARRIS,Active,135000,ALABAMA POWER CO (AL),TALLAPOOSA RIVER AL,-85.3536658,33.612762,12/27/1973,11/30/2023
1894,PARR SHOALS ((PS&CON),Active,526080,SOUTH CAROLINA ELECTRIC&GAS CO (SC),BROAD RIVER SC,-81.1978114,34.1354828,8/28/1974,6/30/2020
619,BUCKS CREEK,Active,84800,PACIFIC GAS AND ELECTRIC CO (C,NOTTH FORK FEATHER RIVER CA,-121.2861759,40.3134036,12/19/1974,12/31/2018
2736,AMERICAN FALLS,Active,92400,IDAHO POWER CO (ID),SNAKE RIVER ID,-117.050991,46.399883,3/31/1975,2/28/2025
2614,GREENUP,Active,70560,HAMILTON CITY OF (OH),OHIO RIVER OH,-88.5253353,37.060704,3/29/1976,2/28/2026
2735,HELMS PUMPED STORAGE,Active,1053000,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK KINGS RIVER CA,-118.8258913,37.0578345,5/18/1976,4/30/2026
1121,BATTLE CREEK,Active,36100,PACIFIC GAS AND ELECTRIC CO (C,SOUTH FORK BATTLE CREEK CA,-121.9798616,40.4104291,8/13/1976,7/31/2026
2716,BATH COUNTY PUMPED STORAGE,Active,2484000,ALLEGHENY GENERATING CO (VA),LITTLE BACK CREEK VA,-79.9009794,38.1552304,1/10/1977,12/31/2026
2725,ROCKY MOUNTAIN PUMPED STORAGE,Active,904000,GEORGIA POWER CO (GA),OOSTANAULA GA,-85.0170395,34.4816257,1/21/1977,12/31/2026
2740,BAD CREEK PUMPED STORAGE,Active,1065000,"DUKE ENERGY CAROLINAS, LLC.",WHITEWATER RIVER SC,-82.996881,35.0153409,8/1/1977,7/31/2027
120,BIG CREEK NO 3,Expired,165375,SOUTHERN CALIFORNIA EDISON CO (CA),SAN JOAQUIN RIVER CA,-120.5101643,37.4383158,9/7/1977,2/28/2009
2615,BRASSUA,Expired,4180,BRASSUA HYDROELECTRIC LTD PART (ME),MOOSE RIVER ME,-70.2661789,45.6528242,9/16/1977,3/31/2012
2426,SOUTH SWP HYDROPOWER (PS&CON),Active,1679100,CALIFORNIA DEPT-WTR RESOURCES (CA),CALIFORNIA AQUEDUCT CA,-118.3742489,35.1199664,3/22/1978,1/31/2022
2596,STATION 160,Expired,340,ROCHESTER GAS & ELECTRIC CORP (NY),GENESEE RIVER NY,-77.6274796,43.1768415,4/13/1978,12/31/1993
349,MARTIN DAM,Expired,182456,ALABAMA POWER CO (AL),TALLAPOOSA RIVER AL,-85.3536658,33.612762,5/11/1978,6/8/2013
2742,SOLOMON GULCH,Active,12000,COPPER VALLEY ELECTRIC ASSN.,SOLOMON GULCH AK,-146.3038889,61.0844444,6/21/1978,5/31/2028
2829,LOVELAND,Active,900,LOVELAND CITY OF (CO),BIG THOMPSON RIVER CO,-105.5345038,40.3676528,6/30/1978,3/8/2016
67,"BIG CR NOS 2A,8 & EASTWOOD (PS&CON)",Expired,373320,SOUTHERN CALIFORNIA EDISON CO (CA),SOUTH FORK SAN JOAQUIN RIVER CA,-118.7495933,37.099909,8/9/1978,2/28/2009
2781,NEW MELONES T.L.,Active,0,PACIFIC GAS AND ELECTRIC CO (C, CA,-119.4179324,36.778261,9/18/1978,8/31/2028
2800,LAWRENCE,Active,16800,ESSEX CO (MA),MERRIMACK RIVER MA,-70.8565892,42.81182,12/4/1978,11/30/2028
2842,IDAHO FALLS,Active,27000,IDAHO FALLS CITY OF (ID),SNAKE RIVER ID,-117.050991,46.399883,2/8/1979,1/31/2029
2284,BRUNSWICK,Active,19000,"BROOKFIELD WHITE PINE HYDRO, LLC.",ANDROSCOGGIN RIVER ME,-69.8695642,43.9703225,2/9/1979,2/28/2029
2808,BARKER'S MILL,Active,1500,KEI (MAINE) POWER MGMT (III) LLC,LITTLE ANDROSCOGGIN RIVER ME,-70.6239498,44.3329217,2/23/1979,1/31/2019
2788,COLLIERSVILLE,Active,1450,HYDRO DEVELOPMENT GROUP INC (NY),NORTH BRANCH SUSQUEHANNA RIVER NY,-74.0059413,40.7127837,3/13/1979,2/28/2019
2821,PORTLAND NO 1 & 2,Active,35625,CITY OF PORTLAND WATER BUREAU,BULL RUN RIVER OR,-122.2009185,45.4367978,3/22/1979,2/28/2029
2818,GREEN LAKE,Active,18540,SITKA CITY OF & BOROUGH OF (AK),VODOPAD R AK,-135.1367058,56.9882984,4/5/1979,3/31/2029
199,SANTEE-COOPER,Expired,134520,SOUTH CAROLINA PUB SERV AUTH (SC),SANTEE RIVER SC,-79.810046,33.3685282,5/9/1979,3/31/2006
2809,AMERICAN TISSUE,Active,1000,KEI (MAINE) POWER MGMT (III) LLC,COBBOSSEECONTEE STREAM ME,-69.7711554,44.2306254,5/9/1979,4/30/2019
1904,VERNON,Active,32400,TRANSCANADA HYDRO NORTHEAST INC.,CONNECTICUT RIVER VT,-72.5428968,42.8136064,6/25/1979,4/30/2018
2839,GREAT FALLS,Active,2050,LYNDONVILLE VILLAGE OF (VT),PASSUMPSIC RIVER VT,-71.998739,44.4946501,6/29/1979,5/31/2019
1855,BELLOWS FALLS,Active,40800,TRANSCANADA HYDRO NORTHEAST INC.,CONNECTICUT RIVER VT,-72.5428968,42.8136064,8/3/1979,4/30/2018
2741,PINE FLAT,Active,165000,KINGS RIVER CONSERVATION DIST (CA),KINGS RIVER CA,-119.4347376,36.6451696,9/25/1979,8/31/2029
2823,LOWER BEAVER FALLS,Active,1000,"ALGONQUIN POWER, LLC.",BEAVER RIVER NY,-74.9099025,43.9036755,10/18/1979,9/30/2019
96,KERCKHOFF,Active,162720,PACIFIC GAS AND ELECTRIC CO (C,SAN JOAQUIN R CA,-122.6823061,38.9782525,11/8/1979,11/30/2022
1892,WILDER,Active,35600,TRANSCANADA HYDRO NORTHEAST INC.,CONNECTICUT RIVER VT,-72.5428968,42.8136064,12/10/1979,4/30/2018
1869,THOMPSON FALLS,Active,92600,"PP&L MONTANA, LLC",CLARK FORK MT,-113.5161156,46.7645397,12/28/1979,12/31/2025
2894,BLACK BROOK DAM,Active,650,FLAMBEAU HYDRO LLC.,APPLE RIVER WI,-92.7345159,45.1464966,1/22/1980,12/31/2020
606,KILARC - COW CREEK,Expired,4440,PACIFIC GAS AND ELECTRIC CO (C,SOUTH COW CREEK CA,-121.7442241,40.7004107,2/8/1980,3/27/2007
2804,GOOSE RIVER,Active,375,GOOSE RIVER HYDRO INC (ME),GOOSE RIVER ME,-68.9982366,44.492396,3/24/1980,2/29/2020
2876,PINE FLAT T.L.,Active,0,CALIFORNIA DEPT-WTR RESOURCES (CA), CA,-119.4179324,36.778261,3/24/1980,8/31/2029
2926,RUSSEL D SMITH PEC 22.7,Expired,6100,EAST COLUMBIA BASIN IRR DIST (WA),POTHOLES EAST CANAL WA,-119.0386189,46.6481948,3/27/1980,2/28/1930
2837,GRANBY,Active,10080,"ERIE BOULEVARD HYDROPOWER, L.P.",OSWEGO RIVER NY,-76.4898849,43.4419838,4/7/1980,3/31/2020
175,BALCH,Active,130500,PACIFIC GAS AND ELECTRIC CO (C,NORTH FORK KINGS RIVER CA,-118.8258913,37.0578345,4/18/1980,4/30/2026
1889,TURNERS FALLS,Active,67709,FIRSTLIGHT HYDRO GENERATING CO.,CONNECTICUT RIVER VT,-72.5428968,42.8136064,5/5/1980,4/30/2018
2987,CORNWELL,Expired,12,CORNWELL HOWARD W & VERNA J,MERRILL CREEK CA,-120.1008641,39.5393292,5/7/1980,4/30/1930
2883,FRIES,Active,5213,AQUENERGY SYSTEMS INC (SC),NEW RIVER VA,-80.590641,37.1377082,6/10/1980,5/31/2020
2832,LUCKY PEAK,Expired,101250,BIG BEND IRRIGATION DISTRICT (OR),BOISE RIVER ID,-116.2103242,43.6149495,6/10/1980,5/31/1930
803,DESABLA-CENTERVILLE,Expired,26650,PACIFIC GAS AND ELECTRIC CO (C,WEST BRANCH FEATHER RIVER CA,-121.5665959,39.7984568,6/12/1980,10/11/2009
3017,JETTY LAKE,Expired,249,ARMSTRONG KETA INC (AK),JETTY LAKE AK,-134.6715773,56.3006209,7/17/1980,6/30/1930
2911,SWAN LAKE,Expired,22000,SOUTHEAST ALASKA POWER AGENCY,FALLS CREEK AK,-149.3684378,60.866257,7/17/1980,6/30/1930
1888,YORK HAVEN,Expired,19600,"YORK HAVEN POWER COMPANY, LLC.",SUSQUEHANNA RIVER PA,-75.6035738,41.9500349,8/14/1980,9/1/2014
405,CONOWINGO,Expired,574540,EXELON GENERATING COMPANY L..L.C.,SUSQUEHANNA RIVER PA,-75.6035738,41.9500349,8/14/1980,9/1/2014
1881,HOLTWOOD,Expired,195500,"PPL HOLTWOOD, LLC.",SUSQUEHANNA RIVER PA,-75.6035738,41.9500349,8/14/1980,8/31/1930
1025,SAFE HARBOR,Expired,380390,SAFE HARBOR WATER POWER CORP (PA),SUSQUEHANNA R PA,-75.5991789,41.9436071,8/14/1980,4/22/1930
2960,GONZALES,Active,1140,GONZALES CITY OF (TX),GUADALUPE RIVER TX,-98.0677877,29.2517827,8/25/1980,7/31/2020
2660,FOREST CITY (STORAGE),Expired,0,"WOODLAND PULP, LLC",EAST BRANCH ST. CROIX RIVER ME,NA,NA,8/27/1980,8/31/2000
2618,WEST BRANCH (STORAGE),Expired,0,"WOODLAND PULP, LLC",WEST BRANCH ST. CROIX RIVER ME,-84.2386132,44.2764083,9/4/1980,9/29/2000
2721,HOWLAND,Expired,1875,PENOBSCOT RIVER RESTORATION TRUST,PISCATAQUIS RIVER ME,-68.656,45.239,9/12/1980,9/30/2000
3023,TUPPERWARE,Active,2000,BLACKSTONE HYDRO INC (MD),BLACKSTONE RIVER RI,-71.507156,41.9936228,10/24/1980,9/30/2020
2972,WOONSOCKET FALLS,Active,1100,WOONSOCKET CITY OF (RI),BLACKSTONE RIVER RI,-71.507156,41.9936228,11/6/1980,10/31/2020
2322,SHAWMUT,Active,8740,"BROOKFIELD WHITE PINE HYDRO, LLC.",KENNEBEC RIVER ME,-69.8389992,43.9931655,1/5/1981,1/31/2021
2780,MONTICELLO,Expired,11500,SOLANO IRRIGATION DISTRICT (CA),PUTAH CREEK CA,-122.0123514,38.4910181,1/29/1981,12/31/1930
3030,ELK RAPIDS,Expired,700,ANTRIM COUNTY (MI),ELK RIVER MI,-85.9932654,44.1215913,2/9/1981,12/31/2014
2848,CASCADE,Expired,12420,IDAHO POWER CO (ID),PAYETTE RIVER NORTH FORK ID,-116.0034162,45.1727239,2/17/1981,1/31/1931
2916,LOWER MOKELUMNE RIVER,Expired,33048,EAST BAY MUNICIPAL UTIL DIST (CA),MOKELUMNE R CA,-121.7899972,37.9620541,3/10/1981,3/31/1931
2814,GREAT FALLS,Active,10950,GREAT FALLS HYDROELECTRIC CO (MN),PASSAIC RIVER NJ,-74.1195915,40.7187948,3/11/1981,2/28/2021
2934,UPPER MECHANICVILLE,Active,18500,NEW YORK STATE ELEC & GAS CORP (NY),HUDSON RIVER NY,-73.9242251,41.1896081,4/23/1981,3/31/2021
2985,WILLOW MILL,Expired,100,"ONYX SPECIALTY PAPERS, INC.",HOUSATONIC RIVER MA,-73.2469795,42.3169669,5/1/1981,4/30/2011
3074,UPRIVER,Expired,17700,SPOKANE CITY OF (WA),SPOKANE RIVER WA,-117.4144925,47.6642432,6/4/1981,5/31/1931
3273,CHITTENDEN FALLS,Active,845,CHITTENDEN FALLS DAM CORP (NY),KINDERHOOK CR NY,-73.6864106,42.4116613,6/29/1981,5/31/2021
3104,LUCKY PEAK T. L.,Expired,0,IDAHO POWER CO (ID), ID,113.921327,-0.789275,6/30/1981,5/31/1930
2997,CAMP FAR WEST,Active,6800,SOUTH SUTTER WATER DISTRICT (CA),BEAR RIVER CA,-65.641954,44.572535,7/2/1981,6/30/2021
3452,OAK ORCHARD,Active,350,"ERIE BOULEVARD HYDROPOWER, L.P.",OAK ORCHARD CREEK NY,-78.168859,43.0792232,7/15/1981,6/30/2021
3251,CORNELL UNIVERSITY,Active,1718,CORNELL UNIVERSITY (NY),FALL CREEK NY,-76.4975976,42.4527812,7/28/1981,6/30/2021
2880,CHEROKEE FALLS,Active,4140,AQUENERGY SYSTEMS INC (SC),BROAD RIVER SC,-81.1978114,34.1354828,8/3/1981,7/31/2021
3015,TYEE LAKE,Expired,20000,SOUTHEAST ALASKA POWER AGENCY,TYEE CREEK AK,-131.4392259,56.1666658,8/5/1981,7/31/1931
3102,HIGH SHOALS,Active,1027,BRACEWELL GAYNOR L,APALACHEE RIVER GA,-83.2783333,33.5441667,8/7/1981,8/30/2021
3295,SUMMER FALLS,Expired,92000,EAST COLUMBIA BASIN IRR DIST (WA),MAIN CANAL WA,-120.8782393,47.1579105,8/14/1981,7/31/1931
3063,CENTRAL FALLS,Active,818,BRUNER/COTT INC (MA),CENTRAL FALLS RI,-71.3922785,41.8906553,8/28/1981,7/31/2021
2629,MORRISVILLE,Expired,5100,MORRISVILLE VILLAGE OF (VT),LAMOILLE RIVER VT,-72.6024229,44.5614046,8/28/1981,4/30/2015
3777,ROLLINSFORD,Active,1500,ROLLINSFORD TOWN OF (NH),SALMON FALLS RIVER NH,-70.8194279,43.1957051,9/18/1981,8/31/2021
3820,SOMERSWORTH,Active,2220,GENERAL ELECTRIC CO (NH),SALMON FALLS RIVER NH,-70.8194279,43.1957051,9/29/1981,8/31/2021
4025,SHINGLE CREEK,Expired,224,DEVENY WILLIS & BETTY,"SHINGLE CREEK,NORTH & SOUTH FORK ID",-93.3070973,45.0479383,9/30/1981,8/31/1931
2861,PONTOOK,Expired,9600,N H DEPT-ENIR SERV-WTR RES DIV (NH),ANDROSCOGGIN RIVER NH,-70.6995388,44.4097646,10/2/1981,9/30/1931
2743,TERROR LAKE,Expired,36000,KODIAK ELECTRIC ASSN INC (AK),TERROR RIVER AK,-153.088188,57.6679314,10/5/1981,10/31/1931
3031,GARLAND CANAL,Expired,2610,SHOSHONE IRRIGATION DISTRICT (WY),SHOSHONE RIVER WY,-108.2048332,44.8621774,10/9/1981,9/30/1931
3107,NEWFOUND,Expired,1500,"KTZ HYDRO, LLC",NEWFOUND RIVER NH,-71.7428318,43.6138194,11/6/1981,10/31/1931
2849,MAIN CANAL HEADWORKS,Expired,26000,EAST COLUMBIA BASIN IRR DIST (WA),MAIN CANAL WA,-120.8782393,47.1579105,11/16/1981,11/30/1931
2816,NORTH HARTLAND,Active,4137,"NORTH HARTLAND,LLC",OTTAUQUECHEE RIVER VT,-72.7664614,43.6424759,11/24/1981,11/30/2021
3842,ELTOPIA BRANCH CANAL,Expired,2200,EAST COLUMBIA BASIN IRR DIST (WA),ELTOPIA BRANCH CANAL WA,-119.1289646,46.4951334,12/9/1981,12/31/1931
3843,POTHOLES EAST CANAL,Expired,2400,EAST COLUMBIA BASIN IRR DIST (WA),POTHOLES EAST CANAL WA,-119.0386189,46.6481948,12/9/1981,12/31/1931
2854,SIDNEY A. MURRAY (OLD RIVER),Expired,192000,CATALYST OLD RIVER H/E L P (NY),OLD RIVER LA,-91.5656694,31.366095,1/27/1982,12/31/1931
2879,BOLTON FALLS,Active,7550,GREEN MOUNTAIN POWER CORP (VT),WINOOSKI RIVER VT,-73.1940831,44.4924785,2/5/1982,1/31/2022
2409,NORTH FORK STANISLAUS RIVER,Expired,258726,CALAVERAS COUNTY WATER DIST (CA),N FORK STANISLAUS R CA,-120.1187121,38.092507,2/8/1982,1/31/1932
3409,BOYNE RIVER DAM,Active,250,BOYNE USA INC (MI),BOYNE RIVER MI,-84.9307921,45.1862875,2/22/1982,1/31/2022
2955,NORMANSKILL,Active,1250,WATERVLIET CITY OF (NY),NORMANS KILL NY,-74.2106043,42.7288236,3/5/1982,2/28/2022
2841,LAKE MENDOCINO,Expired,3500,UKIAH CITY OF (CA),EAST FORK RUSSIAN RIVER CA,-123.1327218,39.2977315,4/1/1982,3/31/1932
5362,LOWER MOUSAM,Active,600,KENNEBUNK LIGHT & POWER DIST (ME),MOUSAM RIVER ME,-70.8075489,43.4786526,4/16/1982,3/31/2022
3267,BALLARD MILL,Active,405,"CHASM HYDRO, INC",SALMON RIVER NY,-76.087894,43.5427297,4/19/1982,3/31/2022
4451,LOWER GREAT FALLS,Active,1280,SOMERSWORTH CITY OF (NH),SALMON FALLS RIVER NH,-70.8194279,43.1957051,4/22/1982,4/30/2022
2966,CLEMENT DAM,Expired,2600,"CLEMENT DAM HYDROELECTRIC,LLC",WINNIPESAUKE RIVER NH,-71.6512048,43.439862,5/17/1982,4/30/1932
3472,WYRE-WYND,Active,2780,SUMMIT HYDROPOWER (CT),QUINEBAUG R CT,-71.9497954,42.0237077,5/19/1982,4/30/2022
3511,GROVEVILLE,Active,927,LOWER SARANAC CORPORATION,HUDSON RIVER NY,-73.9242251,41.1896081,6/4/1982,5/31/2022
5536,PARDEE TAP NO 2 & CAMANCHE TAP T. L,Expired,0,PACIFIC GAS AND ELECTRIC CO (C, CA,-119.4179324,36.778261,6/8/1982,3/31/1931
2958,MADERA CANAL,Expired,3645,MADERA-CHOWCHILLA POWER AUTH (CA),USBR MADERA CANAL CA,-119.4179324,36.778261,6/8/1982,5/31/1932
4428,WALDEN,Active,2824,CONSOLIDATED HYDRO NY INC (CT),WALLKILL RIVER NY,-74.184787,41.621772,6/15/1982,5/31/2022
3207,CONEMAUGH,Expired,15000,PENNSYLVANIA RENEWABLE RESOUR (NY),CONEMAUGH RIVER PA,-79.4025121,40.4685141,6/16/1982,5/31/1932
2891,JACKSON BLUFF,Active,10900,TALLAHASSEE CITY OF (FL),OCHLOCKONEE RIVER FL,-84.4289314,29.9881768,7/14/1982,6/30/2022
5702,BARNET,Expired,530,BARNET HYDRO CO (VT),STEVENS RIVER VT,-72.1059855,44.3251746,8/6/1982,7/31/1932
3211,HINCKLEY(GREGORY B. JARVIS),Active,9000,NEW YORK POWER AUTHORITY,WEST CANADA CREEK NY,-74.9378234,43.253432,8/12/1982,7/31/2022
2937,QUINCY CHUTE,Expired,9367,EAST COLUMBIA BASIN IRR DIST (WA),WEST CANAL WA,-119.1696946,46.2209395,8/20/1982,7/31/1932
5828,MONTICELLO POWERHOUSE T. L.,Expired,0,PACIFIC GAS AND ELECTRIC CO (C, CA,-119.4179324,36.778261,8/24/1982,12/31/1931
3193,STONY GORGE,Expired,4900,SANTA CLARA CITY OF (CA),STONY CREEK CA,-120.1933754,40.5801952,8/31/1982,7/31/1932
4784,PEJEPSCOT,Active,13880,TOPSHAM HYDRO PARTNERS LTD PT (MN),ANDROSCOGGIN RIVER ME,-69.8695642,43.9703225,9/16/1982,8/31/2022
2840,POTHOLES EAST CANAL HEADWORKS,Expired,6200,EAST COLUMBIA BASIN IRR DIST (WA),POTHOLES EAST CANAL WA,-119.0386189,46.6481948,9/21/1982,9/30/1932
4362,RIVERDALE,Expired,1240,INMAN MILLS (SC),ENOREE RIVER SC,-81.8192828,34.6311685,9/29/1982,8/31/2012
2892,FRIANT,Expired,27360,FRIANT POWER AUTHORITY (CA),SAN JOAQUIN RIVER CA,-120.5101643,37.4383158,9/30/1982,8/31/1932
5891,OPAL SPRINGS,Expired,4300,DESCHUTES VALLEY WATER DIST (OR),CROOKED RIVER OR,-121.2719898,44.5737298,11/2/1982,10/31/1932
3253,CAMPTON,Active,639,MAD RIVER POWER ASSOCIATES (NH),MAD RIVER NH,-71.5031889,43.9771233,11/9/1982,10/31/2022
2769,RAYSTOWN,Expired,20300,ALLEGHENY ELECTRIC COOP INC (PA),RAYSTOWN LAKE DAM AND RESERVOIR PA,-77.1945247,41.2033216,11/10/1982,10/31/1932
3342,PENACOOK LOWER FALLS,Active,4110,BRIAR-HYDRO ASSOCIATES (MA),CONTOOCOOK RIVER NH,-71.6694888,43.2390233,11/17/1982,10/31/2022
3819,SUGARLOAF,Expired,3830,STS HYDROPOWER LTD (IL),MT. ELBERT CONDUIT (SUGARLOAF) CO,-105.406667,40.016944,11/18/1982,10/31/1932
2903,NEW HOGAN,Expired,2650,CALAVERAS COUNTY WATER DIST (CA),NEW HOGAN DAM CA,-120.7895855,38.1605756,11/22/1982,10/31/1932
5124,NORTH BRANCH NO 3,Active,933,WASHINGTON ELECTRIC COOP INC (VT),WINOOSKI RIVER VT,-73.1940831,44.4924785,11/23/1982,10/31/2022
5944,MORETOWN NO 8,Active,1250,"AMPERSAND MORETOWN HYDRO, LLC.",MAD RIVER VT,-72.7805458,44.1899201,12/7/1982,11/30/2022
4718,COCHECO FALLS DAM,Active,714,COCHECO FALLS ASSOCIATES (NH),COCHECO RIVER NH,-70.8394954,43.1869243,12/8/1982,12/31/2022
2530,HIRAM,Active,10500,"BROOKFIELD WHITE PINE HYDRO, LLC.",SACO RIVER ME,-70.868548,43.8023808,12/22/1982,11/30/2022
